epoch,step,test_loss,train_loss,validation_loss
0,9,,48.303321838378906,
0,19,,43.393043518066406,
0,29,,38.71846389770508,
0,39,,34.22186279296875,
0,49,,30.1457576751709,
0,59,,26.367034912109375,
0,69,,22.843223571777344,
0,70,,,22.14628028869629
1,79,,19.56982421875,
1,89,,16.52568817138672,
1,99,,13.669060707092285,
1,109,,11.114337921142578,
1,119,,8.712437629699707,
1,129,,6.844020366668701,
1,139,,5.158639907836914,
1,141,,,4.700132846832275
2,149,,3.687610626220703,
2,159,,2.4927797317504883,
2,169,,1.371751308441162,
2,179,,0.7120898962020874,
2,189,,0.2430376261472702,
2,199,,0.18415719270706177,
2,209,,0.10276978462934494,
2,212,,,0.11160630732774734
3,219,,0.08837305754423141,
3,229,,0.08312872052192688,
3,239,,0.06732181459665298,
3,249,,0.06625919044017792,
3,259,,0.06734157353639603,
3,269,,0.06249840557575226,
3,279,,0.06149619445204735,
3,283,,,0.06662538647651672
4,289,,0.06036423146724701,
4,299,,0.06027843430638313,
4,309,,0.06167697533965111,
4,319,,0.06543432176113129,
4,329,,0.054789770394563675,
4,339,,0.061138931661844254,
4,349,,0.05653137341141701,
4,354,,,0.06687075644731522
5,355,0.06680836528539658,,
