epoch,step,test_loss,train_loss,validation_loss
0,9,,16.872211456298828,
0,19,,14.931288719177246,
0,29,,13.09449291229248,
0,39,,11.407319068908691,
0,49,,9.835951805114746,
0,59,,8.332245826721191,
0,69,,6.974444389343262,
0,70,,,6.707034111022949
1,79,,5.74752950668335,
1,89,,4.638032913208008,
1,99,,3.6510865688323975,
1,109,,2.8660430908203125,
1,119,,2.169708251953125,
1,129,,1.6000699996948242,
1,139,,1.1205039024353027,
1,141,,,0.9915252327919006
2,149,,0.689750075340271,
2,159,,0.4040292799472809,
2,169,,0.2592615783214569,
2,179,,0.1482381820678711,
2,189,,0.06368810683488846,
2,199,,0.04910251125693321,
2,209,,0.03892485052347183,
2,212,,,0.035929709672927856
3,219,,0.03502822667360306,
3,229,,0.029399877414107323,
3,239,,0.02807837724685669,
3,249,,0.02400423213839531,
3,259,,0.02528107538819313,
3,269,,0.02782438136637211,
3,279,,0.026912016794085503,
3,283,,,0.023398688063025475
4,289,,0.024633653461933136,
4,299,,0.027116693556308746,
4,309,,0.027505340054631233,
4,319,,0.024456851184368134,
4,329,,0.026613805443048477,
4,339,,0.02493041194975376,
4,349,,0.024999745190143585,
4,354,,,0.026079528033733368
5,355,0.026009658351540565,,
