epoch,step,test_loss,train_loss,validation_loss
0,9,,9.90738296508789,
0,19,,8.891304016113281,
0,29,,7.970283031463623,
0,39,,7.090823173522949,
0,49,,6.248019218444824,
0,59,,5.443543434143066,
0,69,,4.7083635330200195,
0,70,,,4.572783470153809
1,79,,4.029878616333008,
1,89,,3.4312667846679688,
1,99,,2.8840460777282715,
1,109,,2.382161855697632,
1,119,,1.9192792177200317,
1,129,,1.5254701375961304,
1,139,,1.1662338972091675,
1,141,,,1.0611802339553833
2,149,,0.8473936319351196,
2,159,,0.577642023563385,
2,169,,0.347440630197525,
2,179,,0.19572217762470245,
2,189,,0.08492663502693176,
2,199,,0.056515686213970184,
2,209,,0.029984544962644577,
2,212,,,0.025939976796507835
3,219,,0.024910252541303635,
3,229,,0.018375005573034286,
3,239,,0.015351805835962296,
3,249,,0.013855422846972942,
3,259,,0.01409402210265398,
3,269,,0.013559996150434017,
3,279,,0.012212004512548447,
3,283,,,0.01189369522035122
4,289,,0.011623463593423367,
4,299,,0.012680202722549438,
4,309,,0.011858103796839714,
4,319,,0.012143583968281746,
4,329,,0.011983361095190048,
4,339,,0.011663241311907768,
4,349,,0.011469794437289238,
4,354,,,0.011628838256001472
5,355,0.011587983928620815,,
